codigo,produto,consumo_2023,consumo_2024
210025,LATA TINTA 18 L INTERCOSTEIRO,1.0,0.0
210031,COLA ADESIVO DE CONTATO 14 KG,1.0,0.0
210032,MASSA CORRIDA 29 KG,3.0,4.0
210037,THINNER DILUENTE P/ EPÓXI 5L,1.0,0.0
210038,"TINTA ESMALTE BRILHANTE VERMELHO 3,6L",0.0,1.0
210040,ROLO DE PINTURA VELUDO 5 MM X 23 CM,0.0,2.0
210041,"ROLO PINTURA 5 CM 2""",5.0,8.0
210042,GARFO SUPORTE PARA ROLO PINTURA,5.0,5.0
210043,"PINCEL 2 1/2' 63,5 MM",3.0,16.0
210044,"PINCEL 2"" 50,8 MM",10.0,1.0
210045,"PINCEL 1"" 25,4 MM",6.0,4.0
210047,"LATA ESMALTE PREMIUM AMARELO OURO 3,6L",1.0,3.0
210048,"LATA ESMALTE SISTÉTICO PRETO FOSCO 3,6 L",1.0,0.0
210053,AGUARRÁS 5L,4.0,0.0
210055,"LATA TINTA EPÓXI AMARELO 3,6L",1.0,0.0
210056,"LATA TINTA EPÓXI VERMELHO 3,6L",0.0,1.0
210057,"LATA TINTA EPÓXI CINZA MÉDIO 3,6",0.0,3.0
210059,ENDURECEDOR PARA EPÓXI 720ML,5.0,0.0
210060,ZARCÃO VERMELHO 1/4 900ML,3.0,0.0
210062,"SELADOR ACRÍLICO 3,6 L",1.0,0.0
210065,"LATA TINTA 3,6L BRANCO BRILHANTE",1.0,0.0
210066,SPRAY BRANCO FOSCO USO GERAL 400 ML,6.0,1.0
210067,LATA TINTA 18 L PRETO LISO,0.0,1.0
210068,"ROLO PINTURA ESPUMA 9CM 3 1/2""",1.0,1.0
210069,LATA TINTA 16L CINZA NOBRE FOSCO PREMIUM,0.0,3.0
210070,SPRAY VERMELHO USO GERAL 400 ML,5.0,3.0
210071,SPRAY PRETO USO GERAL 400 ML,3.0,3.0
210074,LATA TINTA PISO 18L VERDE,2.0,0.0
210075,LATA TINTA PISO 18L CINZA,1.0,6.0
210080,"ROLO PINTURA LÃ 5 CM 9MM 3/8""",0.0,2.0
210082,"ROLO PINTURA LÃ 9CM 31/2""",3.0,11.0
210096,AGUARRÁS 5L,2.0,0.0
210097,ENDURECEDOR PARA EPÓXI 720ML,1.0,1.0
210105,ZARCÃO CINZA 1/4 900ML,1.0,2.0
210106,"LATA ESMALTE ACETINADO PREMIUM PLATINA 3,6L",0.0,2.0
210107,"ZARCÃO CINZA ESCURO 3,6L",0.0,1.0
210108,"LATA TINTA ESMALTE BRILHANTE BASE ÁGUA CINZA ESCURO 3,2L",0.0,1.0
210109,LATA TINTA PISO 18L CINZA CHUMBO,0.0,1.0
210110,LATA TINTA 18 L BRANCO,0.0,1.0
220007,REJUNTE 1 KG PLATINA,2.0,12.0
220008,REJUNTE 1 KG CINZA,2.0,0.0
220009,REJUNTAMENTO ACRÍLICO PRETO 1KG,1.0,0.0
